timestamp,ldr_value
88200,1307
88300,1063
88400,931
88500,905
88600,895
88700,902
88800,911
88900,1045
89000,1168
89100,1335
89200,1344
89300,1136
89400,977
89500,939
89600,1032
89700,975
89800,929
89900,1101
90000,1328
90100,1582
90200,1485
90300,1168
90400,923
90500,939
90600,987
90700,944
90800,531
90900,949
91000,1153
91100,1360
91200,1465
91300,1138
91400,923
91500,885
91600,879
91700,846
91800,791
91900,750
92000,791
92100,758
92200,673
92300,687
92400,742
92500,826
92600,799
92700,767
92800,719
92900,662
93000,704
93100,696
93200,722
93300,689
93400,727
93500,707
93600,820
93700,957
93800,781
93900,683
94000,627
94100,678
94200,677
94300,661
94400,663
94500,816
94600,896
94700,830
94800,727
94900,667
95000,734
95100,704
95200,678
95300,763
95400,884
95500,987
95600,911
95700,730
95800,605
95900,741
96000,800
96100,749
96200,752
96300,822
96400,972
96500,948
96600,811
96700,669
96800,669
96900,837
97000,798
97100,654
97200,689
97300,813
97400,887
97500,803
97600,656
97700,702
97800,1093
97900,918
98000,711
98100,708
98200,823
98300,786
98400,656
98500,797
98600,1077
98700,994
98800,716
98900,773
99000,848
99100,629
99200,645
99300,1657
99400,2959
99500,2235
99600,1069
99700,766
99800,912
99900,1968
100000,2754
100100,3184
100200,3290
100300,3120
100400,3127
100500,2922
100600,2928
100700,2947
100800,683
100900,589
101000,640
101100,653
101200,691
101300,650
101400,555
101500,619
101600,597
101700,654
101800,692
101900,905
102000,753
102100,981
102200,1318
102300,1104
102400,814
102500,851
102600,985
102700,981
102800,862
102900,731
103000,756
103100,720
103200,772
103300,944
103400,1207
103500,945
103600,721
103700,692
103800,763
103900,683
104000,853
104100,1333
104200,1643
104300,1210
104400,736
104500,826
104600,1342
104700,1535
104800,970
104900,761
105000,891
105100,1165
105200,1015
105300,710
105400,903
105500,1915
105600,2407
105700,1330
105800,783
105900,774
106000,935
106100,742
106200,688
106300,996
106400,1939
106500,1744
106600,944
106700,728
106800,790
106900,880
107000,755
107100,695
107200,816
107300,1119
107400,1327
107500,975
107600,719
107700,739
107800,727
107900,730
108000,657
108100,912
108200,1671
108300,2519
108400,1697
108500,868
108600,881
108700,1261
108800,1173
108900,752
109000,867
109100,2297
109200,3047
109300,1681
109400,811
109500,827
109600,1177
109700,1108
109800,821
109900,722
110000,1071
110100,1466
110200,1129
110300,771
110400,766
110500,994
110600,966
110700,690
110800,867
110900,1719
111000,2324
111100,1303
111200,829
111300,695
111400,784
111500,800
111600,675
111700,639
111800,999
111900,1698
112000,1518
112100,903
112200,755
112300,667
112400,711
112500,624
112600,686
112700,1006
112800,1615
112900,1520
113000,989
113100,711
113200,662
113300,710
113400,687
113500,693
113600,852
113700,1279
113800,1749
113900,1182
114000,663
114100,669
114200,714
114300,686
114400,666
114500,833
114600,1263
114700,1301
114800,865
114900,677
115000,672
115100,693
115200,663
115300,560
115400,783
115500,1280
115600,1693
115700,1006
115800,656
115900,620
116000,647
116100,590
116200,626
116300,894
116400,1647
116500,1590
116600,918
116700,607
116800,605
116900,672
117000,574
117100,560
117200,838
117300,1591
117400,1918
117500,1013
117600,614
117700,654
117800,727
117900,635
118000,665
118100,1239
118200,2209
118300,1962
118400,955
118500,642
118600,621
118700,627
118800,591
118900,753
119000,1613
119100,3024
119200,2873
119300,1008
119400,633
119500,688
119600,816
119700,688
119800,624
